PassengerId,Survived,Pclass,Sex_encoded,Age_scaled,Fare_scaled,SibSp_scaled,Parch_scaled,Embarked_C,Embarked_Q,Embarked_S
1,0,3,1,-0.5698,-0.5027,-0.4743,-0.4722,0,0,1
2,1,1,0,0.6390,0.7210,-0.4743,-0.4722,1,0,0
3,1,3,0,0.0861,-0.4885,-0.4743,-0.4722,0,0,1
4,1,1,0,0.3747,0.3689,-0.4743,-0.4722,0,0,1
5,0,3,1,0.3747,-0.4855,-0.4743,-0.4722,0,0,1
6,0,3,1,0.5125,-0.5019,-0.4743,-0.4722,0,0,1
7,0,1,0,0.2369,-0.4652,-0.4743,-0.4722,0,0,0
8,1,3,0,0.1585,-0.4808,-0.4723,-0.4722,0,0,1
9,1,3,0,-0.0929,-0.4701,0.0000,1.4163,1,0,0
10,1,2,1,0.2644,-0.3816,-0.4743,-0.4722,1,0,0